,Vertical_Dissonance_Ratio,Standard_Triads,Diminished_and_Augmented_Triads,Dominant_Seventh_Chords,Seventh_Chords,Non-Standard_Chords,Complex_Chords
"/Users/pepebeats/Desktop/Semi-Supervised-CVAE-LSTM/test4EVO/ComparacionL/L3) Cmin-Gmaj-A7-Fmaj-Cmin.mid",0.125, 0.8, 0.0, 0.2, 0.2, 0.0, 0.0
"/Users/pepebeats/Desktop/Semi-Supervised-CVAE-LSTM/test4EVO/ComparacionL/L9) Abmaj7-Cmin7-Csmaj-Ebmaj.mid",0.125, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0
"/Users/pepebeats/Desktop/Semi-Supervised-CVAE-LSTM/test4EVO/ComparacionL/M1) Cm-Bb-Bb-Cm7-Fm7.mid",0.1053, 0.6, 0.0, 0.0, 0.4, 0.0, 0.0
"/Users/pepebeats/Desktop/Semi-Supervised-CVAE-LSTM/test4EVO/ComparacionL/L5) Cmin-Emin-Emin-Fmaj-Cmin.mid",0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
"/Users/pepebeats/Desktop/Semi-Supervised-CVAE-LSTM/test4EVO/ComparacionL/M3) Cm-Bb-Ab-Cs-Eb.mid",0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
"/Users/pepebeats/Desktop/Semi-Supervised-CVAE-LSTM/test4EVO/ComparacionL/M2) Cmin-Gmaj-C7-Fmin-Cmin.mid",0.125, 0.8, 0.0, 0.2, 0.2, 0.0, 0.0
"/Users/pepebeats/Desktop/Semi-Supervised-CVAE-LSTM/test4EVO/ComparacionL/L10) Cs-Fsdim7-Fm7-Bb9-F.mid",0.3333, 0.4, 0.0, 0.0, 0.2, 0.4, 0.2
"/Users/pepebeats/Desktop/Semi-Supervised-CVAE-LSTM/test4EVO/ComparacionL/M4) Cmin-Gmaj-Fs7-F7-Cmin.mid",0.2353, 0.6, 0.0, 0.4, 0.4, 0.0, 0.0
"/Users/pepebeats/Desktop/Semi-Supervised-CVAE-LSTM/test4EVO/ComparacionL/L1) Cmin-Gmaj-Cmin-Fmin-Cmin.mid",0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
"/Users/pepebeats/Desktop/Semi-Supervised-CVAE-LSTM/test4EVO/ComparacionL/M22) Cm-Bb-Bb-Dm7-Eb.mid",0.05882, 0.8, 0.0, 0.0, 0.2, 0.0, 0.0
"/Users/pepebeats/Desktop/Semi-Supervised-CVAE-LSTM/test4EVO/ComparacionL/M6) Cmin-Fsmin-A7-Dsmin-Cmin.mid",0.125, 0.8, 0.0, 0.2, 0.2, 0.0, 0.0
"/Users/pepebeats/Desktop/Semi-Supervised-CVAE-LSTM/test4EVO/ComparacionL/L4) Cm-C7-Fm-Bb-C.mid",0.125, 0.8, 0.0, 0.2, 0.2, 0.0, 0.0
